title_year,aspect_ratio,duration.1,budget,imdb_score,gross,cast_total_facebook_likes,worldwide_gross
2009.0,1.78,178.0,237000000.0,7.9,760505847.0,4834.0,2783918982.0
2007.0,2.35,169.0,300000000.0,7.1,309404152.0,48350.0,963420425.0
2015.0,2.35,148.0,245000000.0,6.8,200074175.0,11700.0,879620923.0
2012.0,2.35,164.0,250000000.0,8.5,448130642.0,106759.0,1084439099.0
686220791.6999999,686220791.6999999,686220791.6999999,686220791.6999999,7.1,686220791.6999999,143.0,2058662225.0
2012.0,2.35,132.0,263700000.0,6.6,73058679.0,1873.0,282778100.0
2007.0,2.35,156.0,258000000.0,6.2,336530303.0,46055.0,890875303.0
2007.0,2.35,156.0,258000000.0,6.2,336530303.0,46055.0,890875303.0
2010.0,1.85,100.0,260000000.0,7.8,200807262.0,2036.0,586581936.0
2015.0,2.35,141.0,250000000.0,7.5,458991599.0,92000.0,1404705868.0
2009.0,2.35,153.0,250000000.0,7.5,301956980.0,58753.0,935083686.0
2016.0,2.35,183.0,250000000.0,6.9,330249062.0,24450.0,868160194.0
2006.0,2.35,169.0,209000000.0,6.1,200069408.0,29991.0,374085065.0
2008.0,2.35,106.0,200000000.0,6.7,168368427.0,2023.0,591692078.0
2006.0,2.35,151.0,225000000.0,7.3,423032628.0,48486.0,1066215812.0
2013.0,2.35,150.0,215000000.0,6.5,89289910.0,45757.0,260002115.0
2013.0,2.35,143.0,225000000.0,7.2,291021565.0,20495.0,667999518.0
2008.0,2.35,150.0,225000000.0,6.6,141614023.0,22697.0,417341288.0
2011.0,2.35,136.0,250000000.0,6.7,241063875.0,54083.0,1045663875.0
2014.0,2.35,164.0,250000000.0,7.5,255108370.0,9152.0,955119788.0
2012.0,2.35,153.0,230000000.0,7.0,262030663.0,28489.0,757890267.0
2010.0,2.35,156.0,200000000.0,6.7,105219735.0,3244.0,322241588.0
2013.0,2.35,186.0,225000000.0,7.9,258355354.0,9152.0,960366855.0
1997.0,2.35,194.0,200000000.0,7.7,658672302.0,45223.0,2207615668.0
2016.0,2.35,147.0,250000000.0,8.2,407197282.0,64798.0,1150864745.0
2012.0,2.35,131.0,209000000.0,5.9,65173160.0,26679.0,305218228.0
2015.0,2.0,124.0,150000000.0,7.0,652177271.0,8458.0,1670328025.0
2012.0,2.35,143.0,200000000.0,7.8,304360277.0,2039.0,1110526981.0
2012.0,2.35,143.0,200000000.0,7.8,304360277.0,2039.0,1110526981.0
2004.0,2.35,135.0,200000000.0,7.3,373377893.0,43388.0,783705001.0
2013.0,2.35,195.0,200000000.0,7.2,408992272.0,30426.0,1215392272.0
2006.0,2.35,104.0,210000000.0,6.8,234360014.0,21714.0,459359555.0
2013.0,1.85,104.0,200000000.0,7.3,268488329.0,14863.0,743588329.0
2009.0,2.35,150.0,200000000.0,6.0,402076689.0,3218.0,836519699.0
2014.0,2.35,165.0,210000000.0,5.7,245428137.0,3988.0,1104039076.0
2013.0,2.35,130.0,215000000.0,6.4,234903076.0,73441.0,490359051.0
2013.0,2.35,130.0,215000000.0,6.4,234903076.0,73441.0,490359051.0
2014.0,2.35,142.0,200000000.0,6.7,202853933.0,28631.0,708996336.0
2010.0,2.35,125.0,170000000.0,6.8,172051787.0,25550.0,397562763.0
2010.0,2.35,125.0,170000000.0,6.8,172051787.0,25549.0,397562763.0
2011.0,2.35,106.0,200000000.0,6.3,191450875.0,4482.0,560155383.0
2011.0,2.35,123.0,200000000.0,5.6,116593191.0,17657.0,231201172.0
2010.0,1.85,103.0,200000000.0,8.3,414984497.0,19085.0,1069818229.0
2009.0,2.35,118.0,200000000.0,6.6,125320003.0,27468.0,365491792.0
2015.0,2.35,140.0,190000000.0,7.2,350034110.0,79150.0,1514019071.0
2013.0,2.35,123.0,190000000.0,7.0,202351611.0,32392.0,531514650.0
2014.0,2.35,149.0,200000000.0,8.0,233914986.0,91434.0,747862775.0
2013.0,2.35,132.0,190000000.0,7.8,228756232.0,21411.0,467381584.0
2013.0,2.35,114.0,195000000.0,6.3,65171860.0,1766.0,197687603.0
2010.0,2.35,116.0,200000000.0,6.6,90755643.0,16149.0,314594597.0
2013.0,1.85,131.0,190000000.0,7.0,101785482.0,19166.0,411002906.0
2011.0,2.35,154.0,195000000.0,6.3,352358779.0,2593.0,1123790543.0
2008.0,2.35,122.0,185000000.0,6.2,317011114.0,14959.0,786558145.0
2015.0,2.35,93.0,65346774.307142854,6.8,123070338.0,696.0,334354269.0
2012.0,2.35,93.0,185000000.0,7.2,237282182.0,5005.0,554606532.0
2016.0,2.35,122.0,185000000.0,7.5,130468626.0,1327.0,196968626.0
2008.0,2.35,98.0,180000000.0,8.4,223806889.0,2975.0,532590994.0
2009.0,2.35,158.0,200000000.0,5.8,166112167.0,2144.0,788408539.0
2009.0,2.35,96.0,200000000.0,6.8,137850096.0,48878.0,315709697.0
2015.0,2.35,127.0,176000000.0,5.4,47375327.0,47334.0,181982519.0
2005.0,2.35,150.0,180000000.0,6.9,291709845.0,1317.0,720539572.0
2016.0,2.35,144.0,178000000.0,7.3,154985087.0,49684.0,530842489.0
2008.0,2.35,152.0,185000000.0,9.0,533316061.0,57802.0,1002891358.0
2009.0,1.85,96.0,175000000.0,8.3,292979556.0,2635.0,731542621.0
2009.0,2.35,94.0,175000000.0,6.5,198332128.0,2579.0,381687380.0
2008.0,2.35,126.0,140000000.0,7.9,318298180.0,39252.0,582443126.0
2011.0,1.85,126.0,170000000.0,7.5,73820094.0,36017.0,180047784.0
1999.0,1.85,106.0,170000000.0,4.8,113745408.0,15870.0,221229335.0
2008.0,2.35,112.0,145000000.0,5.2,102176165.0,9131.0,405760225.0
2016.0,2.35,123.0,175000000.0,6.9,161087183.0,11287.0,294387183.0
2007.0,2.35,96.0,175000000.0,5.4,100289690.0,108016.0,174131329.0
2014.0,2.35,113.0,178000000.0,7.9,100189501.0,12652.0,364406256.0
1995.0,1.85,176.0,175000000.0,6.1,88246220.0,1004.0,264246220.0
2009.0,2.35,118.0,175000000.0,5.8,150167630.0,26683.0,302469017.0
2015.0,1.85,95.0,175000000.0,8.3,356454367.0,2944.0,853923085.0
2010.0,2.35,124.0,200000000.0,7.0,312057433.0,48638.0,623561331.0
2012.0,2.35,132.0,170000000.0,6.1,155111815.0,72881.0,401016924.0
2014.0,2.35,97.0,180000000.0,7.0,241407328.0,15516.0,758536735.0
2014.0,1.85,130.0,170000000.0,7.6,208543795.0,14363.0,703545589.0
2015.0,3043.3,109.0,3043.3,4.5,3043.3,1982.0,11106.0
2015.0,3042.9,109.0,3042.9,4.5,3042.9,1980.0,11106.0
2013.0,2.35,128.0,175000000.0,6.3,38297305.0,20965.0,151659062.0
2014.0,2.35,136.0,170000000.0,7.8,259746958.0,36188.0,714401889.0
2010.0,2.35,93.0,165000000.0,6.4,238371987.0,4628.0,756244673.0
2014.0,2.39,102.0,165000000.0,7.9,222487711.0,2963.0,652127828.0
2012.0,2.35,101.0,165000000.0,7.8,189412677.0,4451.0,496511521.0
2004.0,2.35,100.0,165000000.0,6.6,665426.0,16264.0,319090241.0
2016.0,2.35,120.0,165000000.0,5.5,102315545.0,3233.0,379262220.0
2010.0,2.35,98.0,165000000.0,8.2,217387997.0,20453.0,494870991.0
2003.0,2.35,109.0,200000000.0,6.4,150350192.0,1769.0,433058296.0
2014.0,2.35,121.0,170000000.0,8.1,333130696.0,32438.0,771172112.0
2014.0,2.35,169.0,165000000.0,8.6,187991439.0,31488.0,665417894.0
2012.0,2.35,182.0,180000000.0,7.9,303001229.0,9152.0,1017003568.0
2008.0,2.35,166.0,150000000.0,7.8,127490802.0,13333.0,329809326.0
2011.0,2.35,132.0,160000000.0,7.8,146405371.0,50983.0,355408305.0
2015.0,2.35,137.0,160000000.0,6.6,281666058.0,81385.0,650523427.0
2010.0,2.35,109.0,150000000.0,6.1,63143812.0,13388.0,217986320.0
2006.0,2.35,98.0,160000000.0,5.6,60655503.0,92456.0,181674817.0
2016.0,1.85,113.0,170000000.0,6.4,76846624.0,80806.0,277279693.0
2007.0,1.85,93.0,160000000.0,6.1,320706665.0,4705.0,807330936.0
2016.0,2.35,123.0,160000000.0,7.3,46978995.0,5505.0,433125655.0
2015.0,2.35,126.0,155000000.0,6.6,89732035.0,38873.0,440160956.0
2010.0,1.78,113.0,155000000.0,6.3,104383624.0,764.0,418186950.0
2001.0,2.35,184.0,140000000.0,6.1,198539855.0,5401.0,449239855.0
2004.0,2.35,206.0,155000000.0,5.5,34293771.0,24598.0,167297191.0
2007.0,2.35,138.0,150000000.0,7.5,292000866.0,33433.0,942943935.0
2005.0,2.35,157.0,150000000.0,7.6,289994397.0,53413.0,896911078.0
2008.0,2.35,102.0,150000000.0,6.4,227946274.0,21584.0,624234272.0
2007.0,2.35,104.0,150000000.0,7.2,256386216.0,13076.0,585532684.0
2005.0,1.85,115.0,150000000.0,6.7,206456431.0,57844.0,475825484.0
2007.0,2.35,111.0,150000000.0,8.0,206435493.0,4764.0,626549695.0
2005.0,2.35,128.0,150000000.0,8.3,205343774.0,59558.0,359142722.0
2008.0,1.85,89.0,150000000.0,6.7,179982968.0,3285.0,599516844.0
2009.0,2.35,105.0,150000000.0,5.9,177243721.0,54039.0,402231063.0
2009.0,2.35,119.0,150000000.0,6.7,179883016.0,40054.0,374825760.0
2003.0,2.35,129.0,150000000.0,6.7,139259759.0,1062.0,427289109.0
2013.0,2.24,102.0,150000000.0,7.6,400736600.0,2582.0,1274234980.0
2003.0,2.35,138.0,150000000.0,7.2,281492479.0,534.0,738576929.0
2013.0,2.35,112.0,170000000.0,7.1,206360018.0,59803.0,644600394.0
2015.0,2.35,120.0,150000000.0,8.1,153629485.0,40025.0,373136354.0
2009.0,2.35,146.0,150000000.0,6.7,133375846.0,16948.0,490875846.0
2011.0,2.35,115.0,150000000.0,7.0,181015141.0,60059.0,449326618.0
2009.0,2.35,88.0,150000000.0,5.1,119420252.0,2217.0,292817841.0
2012.0,1.85,99.0,150000000.0,5.8,83640426.0,16184.0,305270083.0
2012.0,1.85,113.0,100000000.0,6.2,79711678.0,80849.0,238202668.0
2015.0,2.35,131.0,150000000.0,7.4,195000874.0,21840.0,700868363.0
2010.0,1.85,119.0,150000000.0,5.8,61937495.0,13071.0,142634358.0
2007.0,1.85,91.0,150000000.0,6.2,126597121.0,6576.0,287594577.0
2011.0,2.35,90.0,150000000.0,7.3,165230261.0,21015.0,664837547.0
2010.0,2.35,103.0,150000000.0,4.2,131564731.0,2857.0,319713881.0
2006.0,2.35,124.0,150000000.0,6.9,133382309.0,34817.0,397501348.0
2013.0,2.35,131.0,150000000.0,6.4,73103784.0,18204.0,205440387.0
2011.0,2.35,88.0,150000000.0,5.4,21379315.0,2652.0,39549758.0
2006.0,1.85,85.0,149000000.0,6.7,64459316.0,35161.0,179357126.0
2014.0,1.85,92.0,145000000.0,6.9,111505642.0,5810.0,269806430.0
2012.0,1.85,93.0,145000000.0,6.9,216366733.0,2444.0,746921271.0
2002.0,2.35,133.0,142000000.0,6.1,160201106.0,2538.0,431942139.0
1998.0,2.35,153.0,140000000.0,6.6,201573391.0,26029.0,554600000.0
2007.0,2.35,115.0,150000000.0,6.3,82161969.0,31523.0,194995215.0
2016.0,2.35,95.0,145000000.0,7.2,143523463.0,36095.0,518628619.0
2011.0,2.35,133.0,145000000.0,7.4,209364921.0,21768.0,694713230.0
2012.0,1.85,97.0,145000000.0,7.3,103400692.0,20645.0,306900902.0
2005.0,2.35,90.0,100000000.0,6.1,110332737.0,1997.0,203018919.0
2003.0,2.35,154.0,140000000.0,7.7,111110575.0,11945.0,456810575.0
2014.0,2.35,150.0,140000000.0,6.1,65007045.0,26490.0,268314513.0
2014.0,2.35,150.0,140000000.0,6.1,65007045.0,26489.0,268314513.0
2009.0,2.35,127.0,150000000.0,8.0,257704099.0,39284.0,385680446.0
2002.0,1.85,121.0,139000000.0,7.3,403706375.0,40484.0,821706375.0
2014.0,2.35,102.0,145000000.0,7.9,176997107.0,23378.0,616102924.0
2016.0,2.35,126.0,140000000.0,5.5,31141074.0,19769.0,133553464.0
2005.0,2.35,121.0,135000000.0,5.0,31704416.0,2705.0,76416746.0
2009.0,2.35,215.0,130000000.0,7.7,107503316.0,2530.0,184068357.0
2003.0,1.85,138.0,137000000.0,5.7,132122995.0,1814.0,245229234.0
2013.0,2.35,122.0,130000000.0,5.8,122512052.0,31958.0,375740705.0
2005.0,2.35,124.0,130000000.0,6.0,68642452.0,13073.0,121671925.0
2001.0,1.85,106.0,137000000.0,6.4,32131830.0,15015.0,85131830.0
2011.0,2.35,124.0,140000000.0,6.9,176636816.0,19761.0,370569776.0
1999.0,2.35,128.0,135000000.0,6.4,126930660.0,2037.0,361730660.0
2003.0,2.35,138.0,150000000.0,7.4,93926386.0,1205.0,212912137.0
2011.0,2.35,100.0,135000000.0,5.9,63992328.0,62644.0,157956466.0
2008.0,2.35,135.0,150000000.0,6.8,134518390.0,5811.0,263417913.0
27553385.305000003,1.33,60.0,1500000.0,7.5,27553385.305000003,1687.0,163818556.0
2016.0,2.35,117.0,140000000.0,6.8,52792307.0,1950.0,118515678.0
2015.0,2.35,156.0,135000000.0,8.1,183635922.0,57108.0,532037894.0
2013.0,2.35,96.0,135000000.0,6.5,83024900.0,17416.0,286896578.0
2011.0,2.35,107.0,135000000.0,7.2,123207194.0,43291.0,245504574.0
2014.0,1.85,92.0,132000000.0,6.7,83348920.0,19963.0,367650911.0
2007.0,2.35,115.0,110000000.0,8.1,227137090.0,17369.0,442161562.0
2008.0,2.35,92.0,130000000.0,7.6,215395021.0,12754.0,631910531.0
2015.0,1.85,117.0,130000000.0,7.4,180191634.0,5730.0,518602163.0
2013.0,2.35,146.0,130000000.0,7.6,424645577.0,49355.0,864868047.0
2005.0,1.85,116.0,132000000.0,6.5,234277056.0,12758.0,606836535.0
2003.0,2.35,147.0,130000000.0,6.6,138396624.0,12954.0,273271982.0
2011.0,2.35,90.0,130000000.0,6.7,149234747.0,5046.0,554987477.0
2010.0,2.35,101.0,110000000.0,6.4,118311368.0,12406.0,290650494.0
2011.0,2.35,107.0,135000000.0,7.4,77564037.0,4631.0,373993951.0
2004.0,2.35,142.0,130000000.0,7.8,249358727.0,33284.0,796688549.0
2008.0,2.35,165.0,130000000.0,6.6,49551662.0,921.0,215080810.0
2013.0,2.35,100.0,130000000.0,4.9,60522097.0,14168.0,251499665.0
2000.0,1.85,82.0,127500000.0,6.5,137748063.0,2945.0,356148063.0
2011.0,335381068.375,335381068.375,335381068.375,7.5,335381068.375,11036.0,1341511219.0
2014.0,1.85,98.0,127000000.0,6.2,113733726.0,53587.0,356546621.0
2010.0,2.35,95.0,130000000.0,7.3,148337537.0,46120.0,321887208.0
2001.0,2.35,159.0,125000000.0,7.5,317557891.0,13191.0,974755371.0
2013.0,2.35,96.0,130000000.0,5.6,33592415.0,31549.0,79072464.0
2003.0,2.35,143.0,140000000.0,8.1,305388685.0,48184.0,634954103.0
2010.0,240075010.1,240075010.1,240075010.1,6.4,240075010.1,14719.0,960283305.0
2014.0,2.35,123.0,125000000.0,6.7,337103873.0,81385.0,766652288.0
2006.0,2.35,174.0,125000000.0,6.6,217536138.0,16008.0,767820459.0
2014.0,2.35,101.0,103000000.0,6.4,131536019.0,1031.0,493738435.0
2011.0,2.35,132.0,125000000.0,7.3,209805005.0,55345.0,629969804.0
2011.0,2.35,129.0,125000000.0,7.5,186830669.0,22403.0,535663443.0
1999.0,2.35,102.0,85000000.0,6.6,32694788.0,1815.0,61698899.0
2012.0,2.35,135.0,125000000.0,6.7,113165635.0,12175.0,280355920.0
1997.0,1.85,125.0,125000000.0,3.7,107285004.0,2699.0,238317814.0
2000.0,1.85,110.0,123000000.0,6.0,260031035.0,4146.0,345141403.0
2004.0,2.35,124.0,125000000.0,6.4,186739919.0,20553.0,556319450.0
2000.0,2.35,130.0,140000000.0,6.4,182618434.0,2684.0,328711434.0
2007.0,2.35,92.0,130000000.0,5.6,131920333.0,15302.0,288215319.0
2012.0,1.85,127.0,120000000.0,8.0,124976634.0,2121.0,607987022.0
2007.0,2.35,123.0,110000000.0,5.2,115802596.0,14017.0,229545589.0
2016.0,2.35,123.0,120000000.0,7.1,108521835.0,13752.0,200421835.0
2003.0,2.35,107.0,120000000.0,4.8,100685880.0,4046.0,227200000.0
2012.0,2.35,124.0,130000000.0,7.0,126464904.0,24098.0,399005706.0
2002.0,1.85,77.0,120000000.0,5.4,64736114.0,2682.0,166000000.0
2013.0,2.35,109.0,115000000.0,6.6,93050117.0,17689.0,286192091.0
2004.0,2.35,134.0,105000000.0,6.7,57637485.0,17159.0,107212751.0
2008.0,2.35,135.0,120000000.0,6.1,43929341.0,902.0,93394462.0
2010.0,1.85,121.0,120000000.0,5.3,30212620.0,993.0,49628177.0
2010.0,2.35,117.0,117000000.0,6.3,76418654.0,12731.0,258751370.0
2013.0,2.35,124.0,120000000.0,7.0,89021735.0,22004.0,287916633.0
2005.0,2.35,140.0,113000000.0,7.6,380262555.0,44042.0,848998877.0
2002.0,1.78,142.0,115000000.0,6.7,310675583.0,42990.0,656695615.0
2001.0,1.85,92.0,115000000.0,8.1,289907418.0,15013.0,559757719.0
2013.0,2.35,138.0,120000000.0,6.7,132550960.0,23755.0,416456852.0
1999.0,2.35,136.0,115000000.0,6.5,474544677.0,37723.0,1027044677.0
2013.0,2.35,98.0,135000000.0,7.3,187165546.0,43286.0,573068425.0
2008.0,2.35,116.0,78000000.0,5.1,30143364.49285714,1609.0,132999811.0
2002.0,2.35,153.0,115000000.0,6.0,40911830.0,15046.0,77628265.0
2016.0,2.35,120.0,115000000.0,6.1,47952020.0,46719.0,164602163.0
2013.0,2.35,91.0,100000000.0,7.8,274084951.0,87.0,716392705.0
1997.0,2.35,108.0,116000000.0,5.8,67155742.0,1569.0,178200000.0
2016.0,2.35,112.0,135000000.0,6.3,81638674.0,8306.0,237177349.0
2006.0,1.85,108.0,110000000.0,6.4,250863268.0,55486.0,579446407.0
2015.0,2.35,114.0,110000000.0,6.1,155181732.0,16718.0,469590832.0
1997.0,2.35,119.0,110000000.0,6.5,125332007.0,2958.0,339504276.0
2000.0,2.35,142.0,110000000.0,7.1,113330342.0,19454.0,215300000.0
2004.0,2.35,125.0,110000000.0,6.4,125531634.0,19359.0,362989076.0
